name|meaning
Abdullah|Servant of God
Abu Bakr|Name of one of Muhammad�s companions
Abu al Khayr|One who does good
Adel|Just
Adham|Black
Adnan|Proper name
Afif, Afeef|Chaste, modest
Ahmad, Ahmed|Most highly adored, or most praised; variation of the name `Muhammad`
Akil|Intelligent, thoughtful, one who uses reason
Akram|Most generous
Ala�|Nobility
Aladdin, Ala� al din|Nobility of faith
Ali, Aliyy|The highest, greatest, excellent, noble
Alim|Wise or learned
Altair|The flying eagle; also refers to a first magnitude star in the constellation Lyra
Amid|General
Amin, Ameen|Faithful, trustworthy
Amir, Ameer|Prince
Amjad|More glorious
Ammar|Builder, constructor
Amr|Old Arabic name
Anis|Close friend
Anwar|Light
Arfan|Gratitude
Arif|Corporal; aquainted, knowledgable
Asad|Lion
Asadel|Most prosperous one
Ashraf|Most honorable
Asif|Forgiveness
Asim|Protector, defender
Aswad|Black
Ata|Gift
Atif|Compassionate, sympathetic
Awad|Reward, compensation
Ayman|Lucky; on the right
Ayyub, Ayoob|A Prophet�s name
Aza|Comfort
Azhar|Most shining, luminous
Azeem, Azim|Defender, referring to one of God�s ninety-nine qualities
Azzam|Determined, resolved
Badr|Full moon
Badr al Din|Full moon of the faith
Baha|Beautiful, magnificent
Baha al Din, Bahiyy al Din|Magnificence of the faith
Bahir|Dazzling, brilliant
Barakah|Blessing
Bashshar|Bringer of glad tidings
Basil|Brave
Bassam, Basim|Smiling
Bilal|Name of the Prophet�s Muezzin
Bishr|Joy
Burhan|Proof
Dabir|Secretary
Da�ud, Dawud|Arabic form of `David`, beloved; a Prophet�s name
Dhul Fiqar|Name of the Prophet�s sword
Diya al Din|Brightness of the faith
Emir|To command
Esam, Essam|Safeguard
Fadi|Redeemer
Fadil|Generous, honorable
Fahd, Fahad|Lynx
Faisal, Faysal|Decisive
Fakhir|Proud, excellent
Fakhiri, Fakhry|Honorary
Fakih|Legal expert; one who recites the Qu�ran
Farid, Fareed|Unique
Fariq, Fareeq|Lieutenant General
Faris|Horseman, knight
Faruq, Farooq|One who distinguishes truth from falsehood
Fath|Victory
Fatin, Fateen|Clever, smart
Fawwaz|Successful
Ferran|Baker
Fida|Redemption, sacrifice
Firas|Perspicacity
Fouad|Heart
Fudail|Excellent in character
Gamal, Gamali|Camel
Ghalib|Victor
Ghassan|Old Arabic name
Ghazi|Conqueror
Ghiyath|Succorer
Habib|Beloved
Hadi|Guiding to the right
Hakeem, Hakim|Wise, one of God�s ninety-nine qualities
Hakem|Ruler, governor
Halim|Mild, gentle, patient
Hamal|Lamb
Hamdan|The praised one; variation of the name `Muhammad`
Hamid|The praised one; variation of the name `Muhammad`
Hamzah|Lion
Hanbal|Purity
Hani|Happy, delighted, content
Hanif|True believer
Harith|Ploughman, cultivator
Haroun, Harun|Arabic form of `Aaron`; lofty or exalted; A Prophet�s name
Hashim|Broker, destroyer of evil; Hashim was a descendent of the Prophet Muhammad (pbuh)
Hassan|Beautiful, handsome
Hatim|Judge
Haytham|Young hawk
Hilal|Moon
Hilel|The new moon
Hisham|Generosity
Hud, Houd|A Prophet�s name
Hudhayfah|Old Arabic name
Humam|Courageous, generous
Husain, Hussein|Little beauty; Hussein was a descendent of the Prophet Muhammad (pbuh)
Husam|Sword
Husam al Din|Sword of the faith
Husayn|Beautiful
Ibrahim|Father of a multitude; a Prophet�s name (Abraham)
Idris|A Prophet�s name
Ihsan|Beneficence
Imad|Support, pillar
Imad al Din|Pillar of the faith
Imran|A Prophet�s name
Irfan|Thankfulness
Isa, Eisa|A Prophet�s name (Jesus)
Isam, Issam|Safeguard
Ishaq|A Prophet�s name
Isma�il|A Prophet�s name
Izz al Din|Might of the faith
Jabbar|Mighty
Jabir|Consoler, Comforter
Jafar|Rivulet
Jalal|Glory of the faith
Jalil, Jaleel|Great, revered
Jamal|Beauty
Jamal al Din|Beauty of the faith
Jamil, Jameel|Beautiful
Jawad|Open-handed, generous
Jawhar|Jewel, essence
Jibril|Archangel of Allah (Gabriel)
Jihad|Struggle, holy war
Jumah|Born on Friday
Kadar, Kedar|Powerful
Kadeen, Kadin|Friend, companion, confidant
Kadeer, Kadir|Green or green crop (connoting freshness and innocence)
Kahil|Friend, lover
Kaliq|Creative, refers to a quality of God
Kamal|Beauty, perfection
Kamil, Kameel|Perfect; one of the ninety-nine qualities of God
Kardal|Mustard seed
Karif, Kareef|Born in Autumn
Karim, Kareem|Generous, noble, friendly, precious and distinguished
Kasib, Kaseeb|Fertile
Kaseem, Kasim|Divided
Kateb|Writer
Khaldun, Khaldoon|Old Arabic name
Khalid, Khaled|Eternal
Khalil, Khaleel, Kalil|Beautiful, good friend
Khatib|Religious Minister
Khair al Din|The good of the faith
Khairy, Khayri|Charitable, beneficent
Khuzaymah|Old Arabic name
Labib, Labeeb|Sensible, intelligent
Latif|Gentle, kind, pleasant, friendly
Luqman|A Prophet�s name
Lutfi|Kind and friendly
Mahdi|Guided to the right path
Mahir|Skilled
Mahmud, Mahmoud|The praised one; variation of the name `Muhammad`
Maimun|Lucky
Majdy|Glorious
Majid al Din|Glory of the Faith
Majid, Majd|Glorious
Makin|Strong, firm
Malik|Master, angel, king
Mamdouh|One who is commended, praised, glorified
Ma�mun|Trustworthy
Ma�n|Benefit
Mansur|Divinely aided
Marid|Rebellious
Marzuq|Blessed by God, fortunate
Mash�al|Torch
Mas�ud|Fortunate, happy, lucky
Mazin|Proper name
Misbah|Lamp
Mohammed|Praised; from `Muhammad`, name of the Prophet (pbuh)
Mu�adh|Protected
Mu�awiyah|Young fox (first Umayyad Kalifah)
Mu�ayyad|Supported
Mubarak|Happy, blessed
Mufid, Mufeed|Useful
Muhammad|Praised; the name of the Prophet (pbuh)
Muhanned|Sword
Muhsin|Beneficient, charitable
Muhtadi|Rightly guided
Mujahid|Fighter (in the way of Allah)
Mukhtar|Chosen
Mundhir|Warner, cautioner
Munir, Muneer|Brilliant, shining
Muntasir|Victorious
Murtadi, Murtadhy|Satisfied, content
Musa, Moosa|A Prophet�s name (Moses)
Mus�ad|Unfettered camel
Muslim|Submitting oneself to God
Mustafa|Chosen one
Muta|Obeyed
Mu�tasim|Adhering (to faith, to God)
Mu�tazz|Proud, mighty
Muti|Obedient
Muwaffaq|Successful
Nabhan, Nabih|Noble, outstanding
Nabil, Nabeel|Noble
Nadhir|Warner
Nadim, Nadeem|Friend
Nadir|Dear, rare
Naif Na�il|Aquirer, earner
Naim|Comfort, ease, tranquility
Naji|Safe
Najib, Najeeb|Of noble descent
Najjar|Carpenter
Najm al Din|Star of the faith
Nasih|Advisor
Nasim|Fresh air
Nasir, Nasser|Protector
Nasir al Din|Protector of the faith
Nasser|Victorious
Nawfal|Generous, old Arabic name for the Sea
Nazih, Nazeeh|Pure, chaste
Nazim, Nazeem|Arranger, adjuster
Nuh, Nooh|A Prophet�s name
Numair|Panther
Nu�man|Blood
Nur al Din|Brightness of the faith
Nuri, Noori|Shining, brightness
Omar|Long life, first son, most high, the Prophet�s follower
Omran|Solid structure
Qasim|Divider, distributor
Qays|Firm
Qudamah|Courage
Qutaybah, Qutaiba|Irritable, impatient
Rabah|Gainer
Rabi|Spring, breeze
Rafi|Exalting
Rafiq|Kind, friend
Raghib, Ragheb|Desirous
Rahman|Compassionate, merciful; referring to qualities of God listed in the Qu�ran
Ra�id|Leader
Rais|Captain
Rakin|Respectful
Rashad|Integrity of conduct
Rashid|One of good council; rightly guided, having true faith
Ratib|Arranger
Rayhan|favored by God
Reda, Rida, Ridha|(In God�s) favor; contentment, satisfaction
Ridwan|Acceptance, good will; name of the keeper of the gates of Heaven
Riyad, Riyadh|Gardens
Sabih, Sabeeh|Beautiful
Sabir, Sabeer|Patient
Saad|Good luck
Sadaqat|Charity
Sa�eed, Sa�id|Happy
Safiy|Best friend
Safwan|Rocks
Sahir|Wakeful
Sajid|One who worships God
Salah|Righteousness
Salah al Din|Righteousness of the Faith
Saleh, Salih|Good, right
Salim, Saleem|Safe, whole, flawless
Salman|Safe
Sameh|Forgiver
Sami|High, lofty, exalted
Samir, Sameer|Entertaining companion
Samman|Grocer
Saqr|Falcon
Sariyah|Clouds at night
Saud|Fortunate
Sayyid|Master
Seif, Sayf|Sword (of religion)
Seif al Din|Sword of the faith
Shadi|Singer
Shafiq, Shafeeq|Compassionate, tender
Shakir|Thankful
Sharif, Shareef|Honest, noble, distinguished
Shihab|Flame, blaze
Siraj|Lamp, light
Sofian|Devoted
Subhi|Early morning
Suhail, Suhayl|Gentle, easy; the name of a star
Suhayb|Of reddish hair or complexion
Sulaiman, Sulayman|A Prophet�s name (Solomon)
Su�ud, Suoud|Good luck
Tahir|Pure, clean
Talal|Nice, admirable
Talib|Seeker (of truth)
Tamir|One who owns date palm trees
Tamam|Generous
Tarif, Tareef|Rare, uncommon
Tariq|Name of a star
Tawfiq|Success, reconciliation
Taymullah|Servant of God
Taysir|Facilitation
Tayyib|Good or delicate
Thabit|Firm
Thaqib|Shooting Star
Ubadah, Ubaida, Ubaydah|Servant of God
Ubaid|Faithful
Ubayy|Old Arabic name
Umar|Name of the second Khalifa
Umarah|Old Arabic name
Umayr, Umair|Old Arabic name
Usama, Usamah|Description of a lion
Utbah|Old Arabic name
Uthman|One of the companions of the Prophet (pbuh)
Wadi|Calm, peaceful
Wafiq, Wafeeq|Successful
Wahid|Singular, exclusive, unequalled
Wa�il|Coming back (for Shelter)
Wajih, Wajeeh|Noble
Wakil|Lawyer
Waleed, Walid|Newborn child
Walliyullah|Supporter of God
Wasim, Waseem|Graceful, good looking
Wazir|Minister
Yahyah|A Prophet�s name
Yaman|Proper name
Ya�qub|Arabic form of `Jacob`
Yasar, Yasser|Wealth, ease
Yasin, Yaseen|One of Muhammad�s names
Yasir|Wealthy
Yazid, Yazeed|God will increase
Youssef, Yusef, Yusuf|Arabic form of `Joseph`; to increase (in power and influence); a Prophet�s name
Yunus, Yoonus|A Prophet�s name
Yushua|God saves
Yusuf|A Prophet�s name (Joseph)
Zafir|Victorious
Zahid|Self-denying or ascetic
Zahir|Bright, shining
Zaid, Zayd|Increase, growth
Zaim|Brigadier General
Zakariyya|A Prophet�s name
Zaki|Intelligent
Zakiy|Pure
Ziyad|Super abundance
Zuhair, Zuhayr|Bright
aaban|Name of the Angel
aabid|Worshiper
aadil|Just, Upright
aahil|Prince
aalam|World
aalee|Sublime, high
aalim|Religious Scholar
aamil|Doer, Work man
aamir|Civilised
aaqib|Follower
aaqil|Intelligent
aarif|Knowing, aware
aariz|Respectable man
aaryan|Of Utmost strength
aashif|Bold, courageous
aashir|Living
aasif|An able minister
aasim|Person who keeps away from sins
aatif|Kind Affectionate
aaus|Name of a tree
aayan|God's gift
aazim|Determined
abaan|Old Arabic name
abbas|Gloomy look
abdal-ala|Slave of the High
abdul-aalee|Servant of the Most High
abdul-adheem|Servant of the Most Great
abdul-aleem|Servant of the All-Knowing
abdul-baaqi|Servant of the Everlasting
abdul-baari|Servant of the Evolver
abdul-baasit|Servant of the Expander
abdul-barr|Servant of the source of Goodness
abdul-dhahir|Servant of the Manifest
abdul-ghafur|Servant of the All-Forgiving
abdul-ghani|Servant of the Self-Sufficient
abdul-hadi|Servant of the Guide
abdul-hakeem|Servant of the Wise
abdul-haleem|Servant of the Forbearing One
abdul-hameed|Servant of the Praiseworthy
abdul-haqq|Servant of the Truth
abdul-haseeb|Servant of the Reckoner
abdul-jabbar|Servant of the Compeller
abdul-jaleel|Servant of the Sublime One
abdul-kareem|Servant of the Most Generous
abdul-khaliq|Servant of the Creator
abdul-lateef|Servant of the Subtle One
abdul-majeed|Servant of the Most Glorious
abdul-majid|Servant of the Noble
abdul-malik|Servant of the Sovereign Lord
abdul-mu'eid|Servant of the Restorer
abdul-mu'izz|Servant of the Honourer
abdul-mughni|Servant of the Enricher
abdul-mujeeb|Servant of the Responsive
abdul-mumin|Servant of the Guardian of Faith
abdul-nur|Servant of the Light
abdul-qaadir|Servant of the Able
abdul-qahhar|Servant of the Subduer
abdul-quddus|Servant of the Holy
abdul-rashid|Servant of the rightly guided
abdul-waajid|Servant of the Finder
abdul-wadood|Servant of the Loving
abdul-wahhab|Servant of the Bestower
abdul-warith|Servant of the Supreme Inheritor
abdulaalee|Servant of the Most High
abduladl|Slave of the just
abdulafuw|Slave of the one who pardons
abdulahad|Slave of he who is one (Allah)
abdulaleem|Servant of the Omniscient
abdulali|Slave of the High one
abdulalim|Slave of the All knowing
abdulawwal|Slave of the First One
abdulazeez|The servant of the most powerful
abdulazim|Slave of the great
abdulaziz|Servant of the powerful one
abdulbaari|Servant of the Creator
abdulbaasit|Servant of the Extender and Creator
abdulbadee|Slave of the originator
abdulbaith|Slave of the one who raises death
abdulbaqi|Slave of the Eternal
abdulbari|Slave of the creator
abdulbaseer|Slave of the All-seeing
abdulbatin|Slave of the unseen
abdulfattah|Slave of the opener, slave of the giver of victory
abdulghafaar|Servant of the Forgiver
abdulghafoor|Servant of the Forgiver
abdulhafeez|Slave of the Protector
abdulhafiz|Slave of the Guardian
abdulhakam|Servant of the Arbitrator
abdulhakeem|Servant of the Wise
abdulhaleem|Servant of the Mild and Patient
abdulhalim|Slave of the Wise
abdulhameed|Servant of the Praiseworthy and the Ever-Praised
abdulhamid|Slave of the Praiseworthy
abdulhannan|Slave of the Merciful
abdulhaq|Servant of the Truth
abdulhaseeb|Servant of the Respected and Esteemed
abdulhasib|Slave of the Reckoner
abdulhayy|Slave of the Living
abduljabaar|Servant of the Mighty
abduljaleel|Servant of the Great and Revered
abduljawwad|Slave of the Bountiful
abdulkabir|Slave of the Great
abdulkareem|Servant of the Noble and Generous
abdulkarim|Slave of the Gracious
abdulkhabir|Slave of the one who is aware
abdullah|Servant of Allah
abdullateef|Servant of the Kind
abdulmaajid|Slave of the Excellence
abdulmaalik|Slave of the Master, the Lord
abdulmajeed|Servant of the Glorious
abdulman|i Slave of one who prevents
abdulmannan|Slave of the Benefactor
abdulmateen|Slave of the Firm
abdulmubdee|Slave of the Originator
abdulmueed|Slave of the Restorer, the Reproducer
abdulmuhsin|Slave of the Benefactor
abdulmuhyee|Slave of the one who gives life and sustains it
abdulmuiz|Servant of the Giver of Might and Glory
abdulmujeeb|Servant of the Responder
abdulmunim|Slave of the Generous
abdulmuqeet|Slave of the Sustainer
abdulmuqsit|Slave of the Just
abdulmutaal|Servant of the Most High
abdulmuti|Slave of the Giver
abdulmuzanni|He was a narrator of Hadith
abdulnafi|Slave of the Propitious
abdulnaseer|Slave of the Helper
abdulnoor|Slave of the one who is Light
abdulqaadir|Servant of the Capable
abdulqadeer|Slave of the Powerful
abdulqadir|Slave of the Powerful
abdulqahaar|Servant of the Subduer and the Almighty
abdulqayyum|Slave of the Self-Subsistent
abdulqudoos|Servant of the Most Holy
abdulraafi|Servant of the One Who Raises (intellect, esteem), One who
abdulrabb|Slave of the Lord
abdulrafi|Slave of the Exalter
abdulraheem|Servant of the Most Compassionate
abdulrahim|Slave of the Compassionate
abdulrahman|Servant of the merciful one
abdulraqib|Slave of the Vigilant
abdulrauf|Servant of the merciful
abdultawwab|Slave of the Acceptor of repentance, the relenting
abdulwaali|Slave of the Governor
abdulwahid|Slave of the Unique
abdulwajid|Slave of the Finder, the Perceiver
abdulwakil|Slave of the Trustee
abdulwaliy|Slave of the Protecting Friend
abdulwasi|Slave of the All Embracing
abdur-raheem|Servant of the Most Merciful
abdur-rahman|Servant of the Most Gracious
abdur-raqeeb|Servant of the Watchful
abdur-rauf|Servant of the Compassionate
abdur-razzaq|Servant of the Provider
abdurrahman|Slave of Allah
abdurrashid|Slave of the Guide
abdurrazzaq|Slave of the provider;
abdus|Name of the narrator of one of the hadith
abdush|Shahid Slave of the Witness
abdussabour|Servant of the Patient
abdussabur|Slave of the Forbearing
abdussalaam|Slave of the Giver of Peace Servant of the Source of Peace
abdussamad|Slave of the Eternal, The Independent Servant of the Eternal
abdussameei|Servant of the All Hearing
abdussami|Slave of the All Hearing
abdussattar|Slave of the one who conceals faults
abdusshafi|Slave of the Healer
abdusshaheed|Servant of the Witness
abdusshakur|Servant of the Appreciative
abdussubbooh|Slave of the Extremely pure
abid|Worshipper
abisali|Warrior in Islam
abrad|Hail, Mail
abrar|Piety
abrash|Spotted, Speckled
absi|Probably from ABASA to frown; this was the name of Abdullah ibn Musa,a scholar and reciter of the Quran, died /
abt'hi|One who lives in Abtah, a place near Makkah
abulhassan|The Son Of Ali
abyad|A narrator of hadith was so named
abyan|Eloquent
abzari|Seeds, spice, seedsman, one who sows; the Persian scribe and memoriser of tradition, Abu Ishaq Ibrahim had this name
adam|A Prophet's Name
adawi|Grandson of Sayyindina Umer
adbul|Qawi Servant of the Most Powerful
adeeb|A literary Person
adeel|Just
adeem|Rare
adel|Honourable Judge, One who jugdes Fairly
adham|Black
adheem|The most great
adib|Cultured
adil|Just, Honest
adiy|A companion of the Prophet; also the name of the son of Hatim
adl|Justice
adnan|A tribal ancestor of the Quraysh, the Prophet (SAW) was from this tribe; there were other noted men too later in history who had this tribe; there were other noted men too later in history who had
aduz|Zahir Slave of the Manifest
adyan|A nabee was named by this name
afaaq|The place where Earth & Sky meet
afeef|Pure, Chaste, Pious
affan|Forgiving person
afham|Loving
afif|Chaste, Modest
afiq|Honest
aflah|Gaining success but the Prophet (SAW) has discouraged us from giving such names to our children; according to Sayyidina Jab (RA), The Prophet (SAW) intended to forbid such names as Yala, Barakah,
afraz|Standing tall like a mountain, ability to withstand all that is thrushed upon it
afruz|Standing tall like a mountain, ability to withstand all that is
aftaab|Bright, prosperous, the sun
aftab|Sun
afzal|Best, top most
agharr|Handsome, beautiful, distinguished illustrious, noble,
ahab|Strong
ahad|The one
ahmad|Most highly adored
ahmar|Red Coloured
ahnaf|Name of one of the narrators of hadith
ahsan|The best of all
ahwas|Having narrow, contracted or squinting eyes
ahyan|Gift of God
ahzab|Name of one of the narrators of Hadith
aidan|Help, intelligent
aidh|Name of a reciter of the Holy Quran
aijaz|Blessing
aiman|Fearless
aizat|Sweetness
ajer|Reward
ajlah|A narrator of hadith had this name
ajmal|Beautiful
akbar|Great
akdas|Most holy book
akeem|Wise
akhas|A narrator of hadith
akhdan|Best Friend
akhfash|There have been several men of this name; there were
akhlaq|Behaving
akhtar|A Star, good man
akif|Attached, Intent
akmal|Lion
akram|More Generous
ala'|Nobility
alhakeem|The Wise
ali|Noble, sublime, fourth Caliph of Islam
alkareem|Educator, teacher
alman|Kind, willing and wise man
almir|Prince
altamash|Name of a famous king
amaan|The most loveable
amaar|One who prays times and fasts
amam|Safety, Protection
amayr|Crown
ameer|Commander, Prince, Khalifah
amer|Rich
amin|Faithful, trustworthy, custodian
amir|Prosperous
amjad|More glorious, more illustrious
ammaar|One with strong Imaan Also a Sahabi , one of the early muslims,  son  of Yasir and Sumaya Rad
ammar|Long of age
amr|`By my life`
anas|Love, affection
anasah|The freed slave of the Prophet had this name
aneeq|Valuable
anees|Intimate, friendly
aniq|Elegant
anis|Close friend, companion
anjam|Stars
ansar|The first people who converted to the religion of Islam were the people of Ansar
antarah|This was the name of the freed slave of Sulaym
anwaar|Light, glow, gleam
anwar|More radiant
anzar|Angel of paradise
aqdas|Holy, pure
aqeel|Wise, Intelligent
aqeil|Knowledgeable
arbaaz|Eagle
arbab|Who looks after someone or takes care
areeb|Skilful, Adroit
areez|Friend
arfan|Gratefulness
arham|Merciful
arif|Acquainted, knowledgeable
arish|A brave soldier
armaan|Desire, hope
arman|Army man
arqam|Pen, Speckled snake;
arsal|The one who was sent
arsalaan|Lion
arsh|Dominion , Crown
arshad|Better guided, honest
arshaq|Handsome, well proportioned
arslan|Lion
artah|A narrator of the hadith
aryan|Of utmost strength
as'ad|Happier
asad|Lion
asar|Fourth Prayer of the day
asbagh|Coloured animal, huge flood, dyer
asbat|A narrator of hadith
aseed|A narrator of Hadith
asfar|The morning's light
asgar|Devoted
asghar|Shorter, Smaller, Junior
asha'ath|Scattered, Spread about, humble
ashar|One who has wisdom
ashaz|One in a million, name of a sahabi during the time of prophet
asher|Wise, knowledgeable
ashfaq|Compassionate friend
ashik|Lover, Love
ashim|Generous
ashmaan|Heaven
ashmath|Correct path, Straight path
ashraf|Honourable
asim|Protector
aslam|Peace
asrar|Secret/Sacred relating to Islam
ata|Gift, Present
ataubaq|Handsome, beautiful, helpful, generous and got a lot of love to
ateeb|Very pious
athar|Neat, Clean
athazaz|Unknown, Mystery, Maze
athier|Lion hearted
atif|United, Joined, Together
atik|The black cloth of the Qaaba
atiq|Ancient, Noble
attiq|Old
awad|Reward, Compensation
awf|Guest, fragrance, lion;
awn|To help, assist
aws|To give
ayaan|God's gift
ayaaz|Slave
ayaz|A sincere slave of Mahmoud the king once upon a time
aybak|Ibn Aybak was a leading historian
aydin|Brilliant, Enlightened, Intelligent, Light of the moon
aymaan|Lucky
ayman|Right Hand
ayub|A prophet of Allah (swt)
ayyash|Bread seller
ayyub|Ayyub was a Prophet of Allah known for his patience in the face of
azaan|Call for the prayer
azad|Freedom
azeem|Great, greater
azfer|Leader
azhar|Famous
azim|Greatest
azlan|Lion
azmat|Respect, honour
azraq|Blue, name of a companion of the Prophet
azraqi|He was an authority on the history and geography of Makkah
azzam|Determined, resolved
baahir|Dazzling, Brilliant
baasim|Smiling
babar|Literal Meaning: Lion Contextual meaning: King of Jungle; Lion hearted, brave, courageous and exemplary leadership qualities Highly, powerful and influential, very charismatic
baber|Courageous, Lion
baqar|Inevitable, lion, powerful
baqir|Beloved one, Close to heart
barkat|Growth
barr|Just, Pious
barraq|Shining
basel|Brave
basem|Smiling
bashaar|Bringer of glad tidings
bashar|Bringer of glad tidings
basharat|Good news
basil|Brave
basim|Smiling, Happy
basir|Bringer of glad tidings
bassam|Smiling
batal|Champion
bazaan|The old emperor of Yaman
bazam|It was the name of the Tabiee, Abu Salih
behzad|Honest and caring
bilal|Name of the Prophet's Muezzin
bishr|Joy, solved
bulhut|A narrator of hadith had this name
burak|Horse like animal that carried the Prophet (PBUH) during mehraj and will carry those that are selected on resurrection day
burayd|Cold, Mind
burhaan|Proof
burhan|Proof
da'wud|A Prophet's Name
daamin|Guarantor, Surety
daanish|Wisdom, Learning, Science
dabbah|Latch, door lock
dabir|Judge
daghfal|Name of first Islamic geologist
dakhil|Foreigner, stranger
dameer|Heart, Conscience
damurah|Sparkle of light, fire
daniel|Intelligent
danish|Intelligent
daniyal|Intelligent
darim|Name of a narrator of hadith
dawid|Prince
dawlah|Riches, happiness
dawoud|A Prophet's name
dayyan|A mighty Ruler
dean|Religion
deen|Religion
dhiya|Light, splendour
dhul|Fiqar Name of the Prophet's sword
dilawar|Brave, Courageous
dildar|Charming, beloved
dinar|Name of the grandfather of Abu Bin Thabit
diya|Light (Also pronounced Ziya)
diyari|A gift, or a present
dizhwar|Mean, strong
duha|Fore noon
ehan|Full moon
ehsaas|Feel
ehsan|Powerful
eijaz|Miracle
ejaz|To do something which others cannot do; a miracle; inimitability
emran|Progress, Achievement
eshan|In God Grace, Worthy
faaiz|Successful, Prosperous, Victories
faakhir|Proud, Excellent
faaris|Horseman, Knight
faaz|Victorious, successful
fadi|Redeemer
fadil|Honourable, outstanding
fadl|Reward, favour
faeq|Surpassing, excellent
fahad|Lynx, wild cat
fahd|Lynx
faheem|Intelligent
fahim|Understanding, clever, wise
fahmi|Understanding
fahyim|Very Clever
faik|Surpassing, excellent, leader
faiq|Superior, Ascendant, Outstanding
faisal|Strong, handsome
faiyaz|Artistic
faiz|Grace, favour
faizaan|Grace, Favour
faizan|Ruler
fajaruddin|The First
fajer|Morning
fakeeh|Cheerful
fakhr|Pride, Something to feel proud about
fakhri|Honorary, glorious, proud
fakhrul|Proud
fakih|Humorous
falah|Success
faqeeh|Jurist, Scholar of religious laws
farafisa|Name of a companion, bin Umayr al Hanafi
faraj|There have been men with this name
farasat|Perception, sagacity
faraz|Ascent, height
fardeen|Radiant
fareed|Unique, incomparable
farees|Brave
farhan|Glad, happy, joyful
farid|Unique
faris|Horseman, rider, knight
farooq|Comely, One who distinguishes truth from falsehood
farouk|Knowing right from wrong
farrukh|Happy, Auspicious
faruq|One who distinguishes truth from falsehood
fasahat|Eloquence
faseeh|Eloquent (Suggested name FASEEUDDIN)
fateen|Clever, Smart
fateh|Victory
fatih|Victor, conqueror, the `opener` (eg: surah al Fath)
fatik|Deadly, Lethal
fattah|One who attains victory
fawad|Heart
fawwaz|Successful
fawz|Success, Salvation
fawzan|Successful, Salvation
fawzi|Successful
fayaaz|Kind & Generous; Gracious
fayd|Abundance
fayek|Surpassing, excellent, superior, outstanding
faysal|Decisive
fayzan|Beneficence
fazal|Grace
fazan|Ruler
feroz|Shinning
fiddah|Silver
fidyan|Person who makes sacrifice
firas|Perspicacious
firoz|Gift
fizan|Breeze
fuad|Heart
fudail|Excellent in character
fujai|Name of Prophets (SAW) companion
furozh|Light
fuwad|Heart
fuzail|An accomplished person
ghaith|Rain
ghalib|Victor
ghanem|Successful
ghannam|Shepherd
ghasaan|Old Arabic name
ghauth|Helper, Defender
ghawth|Help, succour
ghayoor|Self respecting
ghazalan|Spinner
ghazanfar|Lion
ghazawan|Warrior, companion of Prophet (SAW)
ghazi|Conqueror, warrior
ghazzal|Name of a reciter of Quran
ghiyath|Aid, Succourer
ghufran|Forgiving, to conceal
ghulam|Slave, Servant
ghunayn|One who collects booty
ghusharib|Brave
ghusun|Branches of tree
ghutayf|Affluent
gohar|Diamond, precious stone
grammarians|of this name in the th / th century
gulab|Rose
gulfam|Rose faced
gulshan|A flower Garden
gulzar|A Garden, an inhabited town
haadee|The guide
