name|meaning
izz|  an Nisa She was a narrator of Hadith
izzah|(Izzat) Slave girl
jabalah|Daughter of Musafh; she was a narrator of hadith
jabeen|Forehead
jabrayah|Love, respect
jahaan|Land
jahan|Land Aara Adornment of the world Khatoon She was a Persian poet
jahanara|To flower, to live
jahdamah|She was a female companion of the Prophet (SAW)
jahida|Helps the vulnarable
jahmyyllah| Beautiful one
jaiyana|Strength
jalilah|Splendid
jameela|Beautiful
jameelah|Beautiful
jameena|Progressive, productive
jamia|Beautiful
jamila|Beautiful, Graceful, Lovely
jamilah|Beautiful, graceful
jammana|Pearl
jana| Products (Fruits) of Paradise   In Surah Al Rahman
janan|Heart, Soul
jannah|Heaven, paradise
jannat|Heaven
jaseena|Nice Heart
jasmin|Flower
jasmina|Flower
jasrah|She was a narrator of Hadith
javairea|Mysterious
jawahir|Precious stones, jewels
jawharah|Jewel, gem
jaza| Reward, compensation
jazeera|Island
jazira|Island
jaziya|Granting
jehaan|Creative mind
jehan|Beautiful Flower
jemimah|Beautiful
jenna|Heaven, Paradise
jennah|Paradise
jessenia|Flower
jian| Life
jihan|Heavenly Place
judamah|She was the daughter of Wahb; she was a companion and a narrator of  Hadith
jumaana|Silver Pearl
jumaymah|Name of a female companion
jumaynah|Gem, name of a female companion
junainah|Garden of paradise
junnut|Heaven
juwariyah|  She was the wife of the Prophet (SAW)
kabirah|Elder, Big
kadshah|She was a companion
kaheesha|This was the name of a poetess, daughter of al Waqa
kainat|Universe
kaleemah|Speaker
kali| Bud (of flower)
kalima|Witness
kalsoom|Name of prophet Muhammad's (pbuh) daughter
kaltham|Name of al Qarshiyah who transmitted Hadith from Sayyidah Ayshah
kamaliyah|  Perfection
kamilah|Perfect, complete
kaneez|Slave
kanval|Flower
kanwal|Water Lily
kanz| Treasure
kanza|Hidden Treasure
kanzah|Treasure
karam|Noble nature
kardawiyah| A pious woman, daughter of Amr al Basriyah was so named
karima|Precious, perfect
karimah|Generous, noble
kas|  Glass
kashifah|Revealer of Secrets
kashish|Attraction
kathirah|Plenty
kaukab|Star
kausar|River in janna (paradise)
kayan|Morning light of the sun
kaysah|She was a narrator of Hadith
kehara|Precious
kehkashan|  Galaxy
khadeeja|Prophet's first wife
khadija|First wife of Prophet Mohammed (PBUH)
khadijah|First wife of the Prophet (SAW)
khadra|Green, Green of the Jennah
khairah|Best, good, virtuous
khalidah|Abiding, Forever
khalilah|Good friend
khalisah|Pure, clear
khansa|Old Arabic name
kharqa|Strong, wind
khatera|Memory
khatira|Precious memory
khatoon|Lady
khawlah|One who has beautiful features
khayrah|Good
khayriyah|  Charitable, good
khayriyyah| Charitable
khazanah|Treasure
khidrah|Green
khudrah|Greenery
khulaybah|  This was the name of an Arab poetess
khulud|Immorality
khusbakht|  Lucky
khuwaylah|  Gazelle
khuzamah|Lavender
kiswar|Territory
koila|Charcoal
komal|Beautiful
komila|Complete
kuaybah|A distinguished woman of her times was so named; she was the  daughter   of Sad al Aslamiyah and  the she offered allegiance (bayah) to  Prophet (SAW) after hijrah; she treated the ill and performed
kuhaylah|Name of a pious woman who was a good speaker
kulthum|Daughter of Ahmad bin Ali al Asiwatiyah was a righteous woman who had memorised the Quran; there were many other women of this name including a daughter of the Prophet (SAW) a daughter of
kunza|Hidden treasure
kurat|ul Ain Coolness of eyes
kuwaysah|Pretty
kwairah|The prettiest
kyda| Preserved, Strong
laaibah|Laaibah is the prettiest women in all the jannats (heavens)
laaiqah|Worthy, deserving, capable
labeebah|Intelligent, wise, brillant
labibah|Understanding, intelligent
laiba|Angel of heaven
laila|Of the Night
laiqa|Intelligent, smile
lama| Darkness of lips
lamees|Pure silk
lamis|Soft
lamisa|Soft to the touch
lamisah|Soft to the touch
lamiya|Dark lipped
lamya|Of dark lips
lana| Wool
lanika|The Best
laraib|Without a doubt
lashirah|Very intelligent
latifa|Beautiful, gentle, kind, pleasant, friendly
layla|Born at night, dark beauty
layyah|Twist, Flexure
leem| Peace
leen| Tender
leena|Plant of dates, soft, mild, clemency
leila|Night
leilah|Night
leyla|Night
liba| Most Beautiful (Hoor in jannah)
lina| Palm tree
liyana|Softness, tenderness
lu'lu|Pearls
lubabah|The innermost essence
lubena|Purity
lubna|Storaz, Systrax
lujain|Silver
lujaina|Silver
luma| Sunset
luna| Moon
lutfiyah|Delicate, graceful
ma'isah|Walking with a proud, swinging gait
maahnoor|Glow of Moon
maalik|bin sanan al Ansari and sister of Abu Saeed al Khudri She was
madaniyah|  Civilised, cultured
madeeha|Praiseworty
madhat|Praise
madhia|Praiseworthy
madia|Praiseworthy
madiha|Praiseworthy
madihah|Praiseworthy
maha| Large eyes, moon like
mahasin|Beauty
mahbasah|A narrator of Hadith
mahdiya|Rightly Guided By Allah
maheen|Fine or thin texture, feeble voice, Like the moon
maheera|Highly skilled, Expert
mahek|Fragrance
mahfuzah|The protected one
mahirah|Adept, Expert
mahjabeen|  Powerful
mahneera|First born of a pair
mahneerah|  First born of a pair
mahnoor|Light of the moon
mahreen|Bright and Beautiful as the sun
mahrosh|Piece of moon, pleasant
mahrukh|Face like a moon, beautiful
mahtob|Moonlight
mahum|Moon's Light
mahveen|Light of the Sun
mahvish|Moon face
mahwish|Beautiful like the moon
mahwush|As beautiful as the Moon
maida|Beautiful
maira|Moon
maisarah|Wealth, Richness
maisha|Pretty
majidah|Glorious, noble, respected
makhtooma|  Name of a female singer of the past
makhtoonah| Name of a singer and a beautiful lady of the past
malaika|Angel
malaikah|Angel
malak|Angel
malayeka|Angel
maleehah|Salty, Graceful, Brownish colour
maliha|Beautiful
malika|Queen
malikah|Queen
malmal|Soft
manahel|Special flower
manahil|Spring of fresh water
manal|Attainment, achievement
manar|Guiding light (lighthouse)
manfoosah|  She was the daughter of Abu Yazid bin Abu al Firwaris; a very pious
manha|Gift of Allah
manhalah|Spring
mansurah|Supporter, victorious
maqboolah|  A noted woman of the past had this name; Maqboolah Hanim
marah|Happiness, joy
maram|Aspiration
mardhiah|One who is loved and respected by all
marhabah|Welcome
maria|One of the wifes' of the prophet Muhammed (pbuh)
mariam|Mother of Isa (Jesus)
maridah|A slave girl of Haroon Rashid had this name
mariya|Purity
mariyah|Oryx, Addax
marjanah|Precious stone
marnia|Wealthy in every aspect
marwa|A mountain in mekkah
maryum|Mother of Isa (AS)
masabeeh|Lamps, Lights
mashaal|Light, bright
mashal|Light
mashel|Light
mashoodah|  Evidenced
masooma|Innocent
masoomah|Innocent
mastura|Protected
masumah|Innocent
mateenah|Firm, Solid, determined
mawahib|Talents
mawara|Superior
mawiya|Old arabic name
mawiyah|The mirror
maya| Princess
mayameen|The blessed, the brave
mayeda|The fruits of heaven, the cloth on which you eat in Heaven, The   suraah   Mayeda in the Quran
maymunah|Auspicious, Blessed
maysa|To walk with a proud, swinging gait
maysam|The pollen in the flower, honey, sweet
maysoon|Beautiful face & body
maysun|Of beautiful face and body
mayyadah|To walk with a swinging gait
maznah|Glorius
mazneen|Shining of gold
medina|Holy city of Saudi Arabia
meem| The Arabic letter 'M' or 'Mim'
meena|Light
mehak|Fragrance
mehek|Smell, fragrance
meher|Benevolence
meheroon|Charming
meherunissa|Benevolent
mehjabeen|  Beautiful as the moon, beloved person
mehmuda|Beautiful garden in medinah
mehnaz|Prouded like a moon
mehndi|Beautiful colour
mehnoor|Light of the moon
mehr| Full Moon
mehreen|Loving nature
mehriban|Kind, Gentle
mehrish|Wonderfull smell(mehak)
mehrnaz|Kindness and sweetness
mehrunisa|  Pretty woman
mehvesh|Light of the moon
mehvish|Bright Star
mehwish|Moon, beautiful
memoona|Gladful
menaal|Special flower of heaven
mersiha|The most beautiful
mevish|Strong
meymona|Good Fortune
mid'haa|Appreciate
midhaa|Appreciate
midhah|Praise
mina| Light
minaal|To reach your destination
minal|Gift, achievement
minnah|Mercy, gift from Allah
misba|Innocent
misha|Beautiful, Pretty
mishall|A light, beautiful, pretty
mishel|A Light
miskeenah|  Humble
mobena|Cool
mohaddisa|  Story teller
mohga|The light of happiness
mohsina|Righteous
momina|Faithful, Truly Believing
mona| Wish, desire
monera|Shinning light, or guiding light
mouna|Water
mounia|A wish or dream come true
mounira|It's shining
muazah|She was a narrator of hadith
mubarakah|  Blessed
mubashirah| Bringer of good news
mubassirah| One who comments
mubeenah|One who makes something clear
muhsinah|Charitable and kind
muizza|The empowerer, the honourer, the strengthener
mumina|Lovely, sweet girl
muna| Water
munawar|Bright
munazzah|Sacred, clean, honest
muneeba|Beautiful
muneerah|Splendid, bright shine of light, illuminous
munerah|Illuminating, Shining
muneza|Clean, pure
muniba|To consult with Allah, diverted toward Allah
munira|Light, sunshine
munisa|Gentle, friendly
munize|One who brings good luck
muqadaas|Holy, Pure
muqbalah|Name of a narrator of Hadith
murdiyyah|  Chosen one
murshidah|  Guide
musaddiqah| One who affirms the Truth
musaykah|She narrated hadith from Sayyidina Ayshah
mushira|Advisor, Guide
muskaan|Smile
muskan|Smile, Happy
muslimah|Devout believer
mussah|She narrated Hadith
mussaret|Happiness
musta'eenah|One who prays for help
mutahharah| Purified, chaste
mutazah|A narrator of Hadith
muzaynah|Adornment
muznah|The cloud that carries the rain
myiesha|Lifes blessing
myreen|Same as Mahreen
mysha|Happy for entire life
na'eemah|Joyful
na'ilah|Acquirer, obtainer, winner
na'imah|Comfort, tranquillity
naa'irah|Bright, Shining
naailah|Some thing special
naajidah|Courage
naazneen|Beautiful
naba| Great News
nabeeha|Intelligent
nabeelah|Noble
nabiha|Honest
nabihah|Intelligent, noble, eminent
nabijah|Ambitious, Leader and Brave
nabila|Happiness, generosity
nabilah|Noble, magnanimous
nada| Generosity, dew
nadeen|Hope
nadesh|Hope
nadia|Hope
nadimah|Friend
nadira|Presious and rare
nadirah|Rare, precious
nadiyah|Caller, announcer
nadra|Rare, unique
nadyne|Flower
naeema|Ease, blessing
nafeesa|Precious
nafeesah|Precious gem
nafesa|Princess
nafiah|Profitable
nafisah|Precious gem
nageen|Precious stone
nageenah|Precious Stone
nagheen|Pearl
nagina|Diamond
nahal|Small Plant
naheed|Honorable
naheeda|Beautiful
nahida|Elevated, delightful
nahleejah|  Down to earth, cool
naifah|This was the name of a well known, woman loved by the masses for  her kindness and generosity, her advice was sought by the people in  different  affairs
nailah|One who succeeds
naima|Powerful, strong minded person
naimah|Tranquility
nain| Eye
naina|Eyes
najaf|City in iraq
najah|Success, safety
najat|Safety, Security
najdah|Courage, bravery
najibah|Of noble birth, distinguished
najidah|Succour, Help
najihah|Victory
najiyah|Safe
najla|Of wide eyes
najma|A Star, in middle of a group of stars
najmah|Star
najmiyyah|  Star
najwa|Confidential talk, secret conversation
nakhat|Fragrance
nakia|Pure, faithful
name;|she built a religious school
namra|Delicious water
namyla|Quiet, Serious
naqeebah|Leader, Head, Chief
naraiman|Pious angel
nargis|Narcissus
narmin|A flower, delicate, soft, slender
narrator|of Hadith who quoted Sayyidina Ayshah (RA)
naseeka|Nusuk (arabic sacrifice), piece of gold
naseemah|Breeze
naseerah|Helper
nasha|Scent, perfume
nasheed|Beautiful one
nasheelah|  Honey comb
nashema|Wise, Blossom
nashirah|Publisher, Diffuser; Spreader
nashitah|Active, energetic
nashmia|Garden of flowers
nashwa|Elated, flushed
nasifah|Just, equitable
nasiha|Advice
nasihah|Advisor
nasimah|Gentle breeze, zephyr
nasira|Glowing star
nasirah|Helper, protector
nasra|Helper
nasreen|Wild Rose
nasrin|Blue scented flower
nasrullah|  Victory of Allah
natara|Guardian
natasha|Strong
nathifa|Pure, Clean
naureen|Bright light
naurus|Bird in Arabic
naushaba|Elixir
nausheen|Sweet, pleasant, agreeable
naushin|Sweet
naveda|Glad things
naveen|New, Excellent, Something that is better than the rest
navil|To be blessed
nawal|Gift
nawar|The one who guards herself, Flower
naweed|Good news
nawel|Gift
nawlah|She was a narrator of Hadith
nawwal|Gift
nayila|Queen of river Nile
nayyab|Very Rare, Exclusive
nayyirah|Luminary
nazahah|Purity, righteousness, honesty
nazanin|Beautiful, pretty
nazeefah|Clean
nazeeha|Honest
nazeerah|Warner
nazia|Pride
nazimah|Administrator
nazindah|Name of a liberal woman of Baghdad who founded a religious school
nazirah|Observer, supervisor
nazish|Fragrance, Proud
nazli|This was the name of an intelligent, learned woman who had  command over different languages, Turkish, Arabic, French, English and was an expert in different fields
nazma|Star
nazmin|Light
nazneen|Beautiful
nazraana|Gift
nazuk|Delicate
neelam|Sapphire
neelofer|Lotus, Water Lily
neeshad|Cheerful
neeya|A Desire For Something
neha| Love, rain
nejat|Freedom, stress free
nelam|Precious stone
nelofar|Lotus, Water lily
nesrin|A field of wild roses
nevaeh|Heaven, peace, angels
nida| Call
nidaa|Call
nidda|Call
nigar|Beautiful
nighat|Vision, sight
nija| Saved One
nijah|Success
nilofar|Waterlily
nilofer|Wild Mountain Rose
nimah|Blessing, loan, favour Blessing, Loan, Favor
nimat|Blessing
nimerah|Tigeress, beauty, strength, modesty, power
nimra|Soft, Lion
nimrah|Pure, clean
nina| Gracious One
nisa| Women
nisha|Whole World
nishat|Happiness
nisreen|Flower
nissa|Ladylike
noor| Jehan An Indian Queen had this name Al Haya Light of my life ul ann Light
noorie|Light
nooriya|Light
noorjahan|  Light of the world
nora| Light
norah|Light
noreen|Lovable, bright
norhan|Light
noriza|Light of contentment
noshaba|Elixir, water of life
nosheen|Sweet Thing
noureen|Light
nu'aymah|Name of a narrator of hadith
nudbah|Lament, Scar; Mark
nudrat|Singularity
nuha| Intelligence
nuhaa|Intelligent
numa| Beautiful and pleasant
nura| The light, eg nurul islam, the light of islam
nurah|Light
nurayda|Intelligence
nuriya|Light
nuriyah|Light
nurjenna|Light of Paradise
nuryn|Light
nusaybah|One with good lineage
nusrah|Helpful
nusrat|Help, Victory
nuwayla|Archiver
nuwaylah|Winner
nuzhah|Excursion spot
nuzhat|Cheerfulness
nyasia|Most beautiful one
nyla| Winner, Achiever
ojala|Light, sunshine
omera|One who posses an inspiring and great personality
pakeezah|Pure
parinda|Bird
pariza|Fairy, flower
parveen|Very Noble
parvina|Shining star
prophet|Muhammad (pbuh)
qabalah|Responsibility
qabilah|Consenting
qabool|Accepted
qadriyyah|  Strong
qailah|One who speaks
qamayr|She was a narrator of Hadith
qameer|Wife of Masrooq bin al Ajda daughter of Amr al Kufiyah, she was a
qaniah|Contended
qaraah|Cloudlet
qarasafahl| She was a narrator of Hadith
qareebah|Near
qasoomah|She was a poetess
qaylah|Two women companions had this name
qaymayriyah|She was a student of Hadith
qaysar|A name of women
qindeel|Light
qirat|Beautiful Recitation
qisaf|Brittle
qiyyama|Stand for Allah
quadriyyah| Strong
quddusiyyah|Sacred, Pious
qudsiyah|Holy
quraybah|Utricle
qurrat|ul ain Delights of an eye
qurratul|Ayn Delights of the eye, darling
qutaylah|She was a companion
qutayyah|She was a student of Hadith
raameen|Obedient
rabab|White cloud
rabail|A veil of flowers
rabbiya|Cool breeze of spring season
rabeea|Springtime, garden
rabia|Spring, Springtime
rabitah|Bond, tie
rabiya|Princess, Queen
radeyah|Content, satisfied
radhia|Pleasant, satisfied
raeesah|Princess; Noble lady
rafeeqah|Friend; Soft hearted
rafia|High, Sublime
rafiah|High, sublime, exquisite
rafida|Gift
rafiqah|Friend, companion
raghad|Pleasant
raghibah|Desiring, desirous
raheemah|Merciful
rahila|One who travels
rahilah|One who travels
rahimah|Merciful, companionate, kind
rahma|Mercy
rahmaa|To have mercy upon
rahmah|Compassion, mercy
raidah|Leader, pioneer
raihana|The fragrance of a rose
raima|Happiness
raina|Peaceful Queen
raiqah|Clear, Pure, Undisturbed
raitah|A narrator of Hadith
rajiyah|Hoping, full of hope
rameen|Obedient
rameesha|A bunch of roses
ramia|Sender
ramidha|White rose
ramisa|White rose
ramsha|Face like moon
ramzia|Gift
rana| To gaze
rani| From the arabic name meaning queen she is an energtic self starter   capable   of sustaing a fast pace with strong leadership and qualities a    capable   of sustaing a fast pace with strong leadership and qualities a
rania|Queen
ranya|Conquerer
rasha|A young deer
rasheedah|  Intelligent one, Sober
rashida|Intelligent, Sober
raudzah|Garden in paradise
rayann|Its the door of heaven that opens in the month of ramadhan
rayna|Pure, Clean
rayya|Light
razaana|One who is calm
razaanah|One who is calm
razan|Balanced
razia|Content, Satisfied
reeha|Air
reeham|Little, light rain
reem| Beautiful Gazelle
reema|White antalope
reena|Beautiful
reham|Rain drops
rehana|A handfull of sweet basil
rehemat|Gift
reja| Good News
reshma|Golden Silk, Expensive
reyah|Comfort
reyhana|Sweet smelling flower of paradise
rida| Lovely, nice & help's people
rifaat|Altitude, Height, High
rifat|Happy
rifaya|Brilliance
riffat|High
rija| Desire, Hope
rijja|Heavens beauty
rimsha|Bunch of flowers
rinaaz|Great
rizqin|Good fortune
rizwana|Beautiful, Guardian of heaven
robina|Blessing with love, waterfall
roha| Beautiful
rohaan|A river in paradise
roma| Truthful, honest, beautiful, flower, princess
romana|Pomegranate; The fruit of Paradise
romeesa|Heavens beauty
rona| Shining light
roshini|Light, noor
roshni|Light
roushana|Light, Brightness
ruaa| Invisable
rubaba|Rose
rubi| Red gem
rubina|Blessed with love, waterfall
rubiya|Spring season
rudainah|Old Arabic Name
ruhab|The one who brings happiness
ruhee|Soul, a flower, who touches the heart
ruhi| Soul
ruhina|Sweet fragrence
rukayat|It is the name of one of the daughters of the Prophet, it means one   who Allah loves
rukhsaar|Cheek, Face
rukhsana|Beautiful
rukhsar|Cheek
ruksana|Beautiful, persian princess
ruksha|Beautiful
rumaisa|Bunch of flowers
rumana|Romantic, loving
rumeha|Beautiful Stone
ruqaya|Daughter of the Prophet (SAW)
ruqayya|Gentle name of the daughter of the Prophet (SAW)
ruqayyah|The daughter of the prophet Muhammed (SAW)
ruquaiya|Daughter of the Prophet (SAW)
rushda|Knowledge, true path, guidance
saadia|Lucky
saadiya|Flower
saaedah|The quiet one
saaleha|Flower
saaliha|Pure pios and devoted
saara|Princess
saarah|Happy, pure
saba| Sheba
sabah|Dawn
sabahat|Beauty, Grace, Handsomeness
sabburah|Very patient, enduring
sabeegah|Beautiful, graceful
sabeen|Cool breeze of the morning
sabeeyah|Baby girl
sabiha|Beautiful
sabihah|Beautiful, graceful
sabina|Flower
sabiqah|Past
sabirah|Patient, perseverant
sabreen|Patience, endurance
sabrin|Patience
sabriyah|Patient, preservant
sabuhi|Morning Star
sadaf|Shell, Oyster, Pearl
sadia|Lucky
sadiah|Good luck
sadiqa|Honest, truthful
sadiqah|Truthful, sincere
sadiyah|Blessed
sadoof|Name of a poetess
saeedah|Fortunate, Auspicious
safa| Clarity, purity of mind, serenity
safeerah|Messenger; Ambassador
saffiya|Best freind
safia|Pure
safiyya|Best friend
safiyyah|Untroubled, serene, pure, best friend
safoorah|Wife of Prophet Musa (AS)
safwah|An Arab feminine name
safwana|A Shining Star, Rock
sageda|Sageda is one who prstrates
sagheerah|  Short
saharish|Cool and fresh breeze of morning
sahibah|Colleague
sahirah|Wakeful
sahlah|Easy, convenient
sahrish|Sunrise
saibah|She was a narrator of hadith
saida|Most Beautiful, unmatched, friendly
saidah|Happy, fortunate
saila|Sunshine
saima|Keeps fasts
saimah|Fasting
saiqa|Lightning
saira|Happy
sairah|One who travels
sairish|Magic, flower
sajidah|Prostrating to Allah
sakeenah|Calm, quiet and tranquil
sakina|She was a narrator of Hadith
sakinah|Allah inspired peace of mind
saleemah|Healthy, Sound
saleena|Moon
salifah|Previous
salihah|Good, useful, righteous, devout
salikah|Following; Mystic
salimah|Sound, safe, healthy
salma|Peaceful
salmaa|Peaceful
salsabil|A fountain in Paradise
salwa|Solace, quail, comfort
samaa|Sky
samah|Generosity
samaira|Enchanting
samar|Evening conversation
samara|Soft pleasant light, She was a narrator of hadith
samarah|A narrator of Hadith
same| name was the sister of Mariah al Qabtiyah; al Maqooqus of
sameea|One who listens
sameeha|Generous blessing of Allah
sameen|Precious
sameena|A big forest in paradise
sameenah|Overweight, fat
samera|Enchanting
sameya|Pure
samia|Exalted, noble, much praised
samiah|Forgivness or forgiver
samina|Precious, Generous
samira|Call
samirah|Entertaining female companion
samiun|The Hearing
samiya|To hear
samiyah|Elevated, exalted, lofty
sammar|Fruit
samra|Pure, promise, fruit
samrah|Name of a fruit, written in the Quran  times
samrina|Flower or fruit
sana| Resplendence, brilliance; to gaze, look
sanam|Beloved
sanari|Sweet and Beautiful
sanaubar|Cone bearing tree
sanika|Strong minded, warm hearted
saniya|Moment in time
saniyah|She was a narrator of Hadith
saniyya|Radiant, bright
sanjeedah|  Serious
sara| Princess
sarah|Pure, Happy, Princess
sarina|Peace
sarish|Morning
sarra|She was a female companion
sarrinah|Beautiful, companion of prophet (SAW)
sarwari|Chief
sarwat|Wealth, Power, Influence
sarwath|Wealth, riches
savaira|Morning
sawdah|A wife of the Prophet (SAW)
sawsan|Lily
sayyidah|Chief
seem| Name of a flower
seemeen|Name of some women
seerat|Inner beauty, fame
seham|Arrows
seher|Beautiful sunshine of the sun and day
sehr| Sunrise
sehrish|The sunrise
selina|Moon, Salty
senada|Graceful, heavenly
senait|Good Luck
shabana|Famous
shabeehah|  Picture, Image, Like
shabina|The eye of the storm
shabnam|Dew
shadha|Aromatic
shadmani|Joy, happiness
shafana|Integrity and Virtuous
shafaq|Dawn Redness in the sky at sunset
shafath|Curing or healing people
shafeeqah|  A compassionate kind hearted friend
shafia|Mercy
shafiah|Intercessor
shafiqah|Compassionate, tender
shagufta|Blooming, Happy
shahada|Bearing witness
shahana|Queen
shaharun|Honest, trustworthy
shahed|Honey
shaheema|Smart, clever
shaheena|Falcon
shaheenah|  Falcon
shaheerah|  Well known
shahida|Witness
shahidah|Witness
shahina|Princess
shahirah|Renowned
shahla|Dark flower, Dark grey eyes
shahmeen|Princess
shahnaaz|Pride of the king
shahnaz|Bride
shahnoor|Royal Glow
shahreen|Sweet
shahzaadee| Princess
shahzana|Princess married to a king
shaila|Small mountain
shaima|Good natured
shairah|Poetess
shaista|Polite She desires support and encouragement in all her goals
shaistah|Polite, Courteous
shajarah|Tree
shajee'ah|  Brave
shakeelah|  Comely, beautiful
shakila|Pretty
shakirah|Thankful, grateful
shakurah|Grateful, very thankful
shalimar|Beautiful & Strong
shama|Lamp
shamailah|  Good traits excellent disposition
shamama|Fragrance
shamamah|Fragrance
shameemah|  A fragrant breeze
shameena|Beautiful
shamila|One of friendly and likable nature
shamim|Sweet, light fragrance
shamima|Fragrant breeze
shamis|The sun
shamoodah|  Diamond
shamsa|Sunshine
shamsia|Beautiful, Shining Star, One and only
shanaz|Pride of King
shanika|Good
shanum|Allahs blessing, dignity
shanza|Woman of diginity
shanzay|Princess
shanze|Rose
shaqeeqah|  Real sister
sharayah|Poetress
shareekah|  Partner
shareen|Sweet
sharifah|Noble, honoured, distinguished
shariqah|Shining
sharleez|Beautiful
sharmeen|Shy
sharmin|Modesty
shasmeen|Very beautiful, a heart of gold , trustworthy, an angel , perfect
shatha|She was a narrator of Hadith
shayla|Little mountain
shayma|Having a beauty spot
shazana|Princess
shazfa|Success
shazia|Aromatic
shazmah|Rare moon
shazmin|White stone
shazneen|The most beautiful flower
sheema|Daughter of bibi haleema sadia who milked Muhammad (PBUH) in  his  child hood
sheen|Snow
sheenaz|Beauty
shehla|Kind of a flower
shehr|bano Princess
shehzadi|Princess
sheila|Little mountain
shellah|Truely, Kind person , Beautiful
sherana|Sweet
shereen|Sweet, kind hearted and beautiful
sheyla|Pine tree
sheza|Good (religious) girl
shezan|Beautiful
shihaam|Intelligent
shillan|A flower
shimaz|Beloved
shireen|Sweet
shiya|Exceptional
shiza|A gift or present
shu'a|Rays of Sun light
shuba|Beautiful
shujana|Brave, strong
shumaila|Beautiful face
shumaisiya| Town in Makkah where the pilgrims used to dorn their ehrams
shumaylah|  The first woman in Islam who wore coloured garments was
shumaylah;| wife of al Abbas and she was also the first to prepare   Hadith    known      perfume;   again the daughter of Ali bin Ibrahim was a narrator of
shumaysah|  She was a narrator of Hadith
shurafa|Noble
shurooq|Dawn, Sunrise
shyreen|Referring to saafa and marwa
siddiqa|Trustworthy, honest
siddiqah|Strictly veracious, honest
siddra|Like a Star
sidra|Tree
sidrah|Name of a tree
siham|Arrows
simra|Heaven, princess
simrah|Jannat (heaven)
sireen|She was the daughter of Ibn Abdullah Ibn Masood and a narrator of
sitarah|Star
sitwat|Someone with fame and respect
sobia|Good and Noble Girl
sofia|Beautiful
soha| Star
sohana|Dews on the grass
somaya|Beautiful garden surrounded with roses and flowers
sonia|Pretty, very beautiful
sophia|Wisdom
soraiya|Princess
soraya|Beautiful
sorfina|Clean, neat, free from dirt
souhayla|Star
suad| Good fortune
subaha|Beautiful
subayah|Daughter of al Harith al Aslamiyah, she was a narrator of Hadith; She   was   the wife of Sad bin Khawlah
subbiha|Clean, tidy
subhaan|Praising Allah
subuhi|The cold breeze of morning
sudi| She was a narrator of Hadith
sufia|A person who follows Sufism   Clean heart
sughra|Small
suha| Name of a star
suhana|Beautiful
suhaylah|Smooth, soft, fluent, flowing
suhaymah|Small arrow
suhayr|Proper name
suheera|Beautiful
suja| Calmness, quitness
sukaina|A young daughter of Imam Hussain who was martyred
sukaynah|Calm, Quietude
sulafah|Choicest
sultana|Leader, ruler, royalty
sulthana|Queen
sumaira|Brownish
sumaiya|Pure
sumanah|She was a narrator of Hadith
sumara|Entertainer
sumayrah|Brownish
sumaytah|She was a companion
sumbul|Frail, Delicate
sumera|Princess
sumia|The one who listens
sumiya|Beautiful
sumlina|Morning Star
summar|Fruit, Gifts
summaya|The first lady who obtained shahadat in Islam
summayyah|  First martyr of Islam
sumnah|Name of an Arab girl (FH)
sumra|Fruit, summer fruit
sumrah|Reward, gift, fruit of good deed
sundas|Dress of heaven
sundus|A fine silk which is used for clotheing in heaven
sunya|Sunshine, brightness
suraiya|Polite
suraya|Star
surraya|Brightest star, sun
suwaydah|She was a narrator of Hadith
suwera|Morning
swiyyah|Little one
taabeer|Way
taalia|Rising Star
tabalah|She was a narrator of Hadith
tabinda|Bright, shining
tafida|Paradise (egyptian name)
tahani|Congratulations
tahera|Pure, chaste
tahfeem|Beautiful
tahira|Holy, Pure
tahirah|Pure, chaste
tahiyah|Greeting, cheer
tahlibah|Loyal, honest
tahseenah|  Acclaim
taibah|Repentant
tala| Little palm tree, star
talibah|Seeker after knowledge
tamanna|Wish
tamara|Date tree
tameemah|Name of a poetess
tanisha|Happiness
tanweer|Radiant, Illuminating
tanzeela|Revelation, Receiving hospitably
tanzila|It is used as verb in Quaran as `tanzeel` which means to send by God   or  to come from the havensIt was used for the revelations and it can  or  to come from the havensIt was used for the revelations and it can
taqiyah|Pious, righteous
tara| Star
tariqah|This was the name of the freed slave of Labeet of the family of the   princes   of al Qays bin Zayd (AN)
tarub|Merry
tasavur|Imaginary picture
taseefa|Clever, smart
tasheen|Ever Ambitious
taskeen|Peace
tasleem|Little Star
tasliymah|  Peace
tasneam|Water in heaven
tasneem|Fountain of paridise
tasnim|Fountain of paradise
tatheer|Purifier, one who purifies
taybah|Pure
tayyibah|Good, pleasant, agreeable
tazeen|A decor, decoration piece
tazim|Respect
tazkia|Special, Unique
tazmeen|One having good qualities, nature & habits
tehmeed|Praise of Allah (swt)
tehreem|Surah Tehrem in Quran
tehzeeb|Respect
thabitah|Firm
thahera|Clean
thaminah|Precious, generous
thana|Thankfulness, praise
thara|Wealth
tharya|Name of a pious woman
thashin|Acclaim
thawab|Reward
thoraya|Star
thubaytah|  She was among the early Muhajirs to Madina and a distinguished       woman        comapnion, daughter of Yaar bin Zayd al Ansariyah
thufailah|  Elegant with good respect for her elders
thuml|Name of an early distinguished woman
thurayya|Star
thuwaybah|  Name of one of the wet nurses of the Prophet (SAW)
tisha|One who is active, lively
tooba|Good news
toufika|Divine help or guidance, enabling, inner motivation
transmitted|Hadith from Sayyidah Ayshah (RA)
tuba| The name of a tree in heaven
